"entity","role","table","key_columns","candidate_columns","evidence","confidence","next_action"
"Клиент","primary","dbo._Reference64","_IDRRef","_Code; _Description; _Fld3822; _Fld3832; _Fld3818","72586 rows; _Code/_Description are client id/FIO; _Fld3832 has 66100 +7-like rows; _Fld3822 behaves as card creation date","high","Use as client master"
"Контакты","phone primary","dbo._Reference64","_IDRRef","_Fld3832","phone samples and profile confirm client phones, including comma-separated multiple phones","high","Normalize for duplicate checks but export original joined value"
"Контакты","email secondary","dbo._InfoRg5255","not confirmed","_Fld5257 email; _Fld5261 phone","31 email-like rows; likely CRM/contact tasks, not canonical client table","low","Use only after deterministic phone/client join and missing-email report"
"Контакты","email reject/secondary","dbo._InfoRg5843","not confirmed","multiple text fields","28543 email-like rows, but samples are social/chat messages and business correspondence","low","Do not use for main export without separate parser"
"Абонемент","primary register candidate","dbo._InfoRg3060","_Fld3061RRef -> dbo._Document163._IDRRef","_Fld3062; _Fld3063; _Fld3064; _Fld3065; _Fld5960RRef","116523/116523 rows join to Document163; _Fld3064 gives 11217 active clients by cutoff; _Fld5960RRef maps to booking status reference","medium-high","Use for stage dates after reconciling with active segment"
"Абонемент","sale/service document","dbo._Document163","_IDRRef; _Fld1447_RTRef/RRRef","_Date_Time; _Fld1450; _Fld1446RRef; _Posted; _Marked","116523 rows; client link confirmed; product refs to Reference72; _Fld1450 alone only gives 285 active clients by full cutoff day","medium-high","Join through InfoRg3060; do not rely only on _Fld1450"
"Активные клиенты","business segment candidate","dbo._InfoRg2878 + dbo._Reference91","_Fld2879_RRRef; _Fld2880_RRRef","segment ref B071000C29D830FD11F01B610376A948","segment 'Активные членства (клиенты)' has 8099 clients","medium","Decide whether segment is authoritative or validation only"
"Бронь","structured status candidate","dbo._InfoRg3060 + dbo._Reference5062","_Fld5960RRef","Reference5062._Description = 'Бронь абонемента'","411 clients total; 120 active by _Fld3064; 59 in active-segment preview","medium-high","Confirm business meaning; then set has_active_booking"
"Бронь","text fallback","dbo._InfoRg5226","_Fld5227_RTRef/RRRef","_Fld5231","551 rows / 544 clients contain 'брон' in notes","low-medium","Use only for report/manual review, not automatic primary flag"
"Бронь","weak/rejected candidate","dbo._Document9230","_Fld9234_RTRef/RRRef","_Date_Time; _Fld9235; text fields","27035 rows linked to 1682 clients, but only 2 rows contain 'брон'; samples look like one-off visits/services","low","Do not use as primary booking flag"
"Пластиковая карта","primary","dbo._Reference59","_IDRRef; _Fld3750_RTRef/RRRef","_Fld3753; _Fld3756; _Fld3751; _Marked","105524 cards all linked to client RTRef 0x40; card number columns match in samples; 100816 unmarked cards","high","Choose unmarked latest card; report multiple cards"
"Продажи","payment document candidate","dbo._Document152","_Fld1057_RTRef/RRRef; _Fld1058RRef","_Date_Time; _Posted; _Fld1072RRef; _Fld1074RRef","401133 client-linked rows; refs map to payment operation/method tables","medium","Use for first payment/sale date after status filtering"
"Продажи","money validation","dbo._AccumRg3305","_Fld3307_RTRef/RRRef","_Period; movement amounts","766533 client-linked rows; money/payment balance register","medium","Use for validation of sales/payments, not primary membership state"
